"filename", "language", "Dart", "comment", "blank", "total"
"c:\dev\notes_app\lib\constants.dart", "Dart", 3, 0, 2, 5
"c:\dev\notes_app\lib\main.dart", "Dart", 20, 0, 4, 24
"c:\dev\notes_app\lib\models\note_model.dart", "Dart", 18, 0, 4, 22
"c:\dev\notes_app\lib\models\note_model.g.dart", "Dart", 25, 4, 8, 37
"c:\dev\notes_app\lib\views\notes_view.dart", "Dart", 24, 0, 3, 27
"c:\dev\notes_app\lib\widgets\add_note_bottom_sheet.dart", "Dart", 28, 0, 3, 31
"c:\dev\notes_app\lib\widgets\custom_app_bar.dart", "Dart", 23, 0, 4, 27
"c:\dev\notes_app\lib\widgets\custom_bottom.dart", "Dart", 21, 0, 3, 24
"c:\dev\notes_app\lib\widgets\custom_notes_item.dart", "Dart", 64, 0, 3, 67
"c:\dev\notes_app\lib\widgets\custom_search_icon.dart", "Dart", 22, 0, 2, 24
"c:\dev\notes_app\lib\widgets\custom_text_field.dart", "Dart", 25, 1, 4, 30
"c:\dev\notes_app\lib\widgets\edit_note_view.dart", "Dart", 11, 0, 3, 14
"c:\dev\notes_app\lib\widgets\edit_note_view_body.dart", "Dart", 35, 0, 3, 38
"c:\dev\notes_app\lib\widgets\notes_list_view.dart", "Dart", 19, 0, 3, 22
"c:\dev\notes_app\lib\widgets\notes_view_body.dart", "Dart", 21, 0, 3, 24
"Total", "-", 359, 5, 52, 416
