"filename", "language", "Swift", "XML", "JSON", "Dart", "comment", "blank", "total"
"c:\dev\notes_app\lib\constants.dart", "Dart", 0, 0, 0, -3, 0, -2, -5
"c:\dev\notes_app\lib\main.dart", "Dart", 0, 0, 0, -20, 0, -4, -24
"c:\dev\notes_app\lib\models\note_model.dart", "Dart", 0, 0, 0, -18, 0, -4, -22
"c:\dev\notes_app\lib\models\note_model.g.dart", "Dart", 0, 0, 0, -25, -4, -8, -37
"c:\dev\notes_app\lib\views\notes_view.dart", "Dart", 0, 0, 0, -24, 0, -3, -27
"c:\dev\notes_app\lib\widgets\add_note_bottom_sheet.dart", "Dart", 0, 0, 0, -28, 0, -3, -31
"c:\dev\notes_app\lib\widgets\custom_app_bar.dart", "Dart", 0, 0, 0, -23, 0, -4, -27
"c:\dev\notes_app\lib\widgets\custom_bottom.dart", "Dart", 0, 0, 0, -21, 0, -3, -24
"c:\dev\notes_app\lib\widgets\custom_notes_item.dart", "Dart", 0, 0, 0, -64, 0, -3, -67
"c:\dev\notes_app\lib\widgets\custom_search_icon.dart", "Dart", 0, 0, 0, -22, 0, -2, -24
"c:\dev\notes_app\lib\widgets\custom_text_field.dart", "Dart", 0, 0, 0, -25, -1, -4, -30
"c:\dev\notes_app\lib\widgets\edit_note_view.dart", "Dart", 0, 0, 0, -11, 0, -3, -14
"c:\dev\notes_app\lib\widgets\edit_note_view_body.dart", "Dart", 0, 0, 0, -35, 0, -3, -38
"c:\dev\notes_app\lib\widgets\notes_list_view.dart", "Dart", 0, 0, 0, -19, 0, -3, -22
"c:\dev\notes_app\lib\widgets\notes_view_body.dart", "Dart", 0, 0, 0, -21, 0, -3, -24
"c:\dev\notes_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 6, 0, 0, 0, 3, 4, 13
"c:\dev\notes_app\macos\RunnerTests\RunnerTests.swift", "Swift", 7, 0, 0, 0, 2, 4, 13
"c:\dev\notes_app\macos\Runner\AppDelegate.swift", "Swift", 8, 0, 0, 0, 0, 2, 10
"c:\dev\notes_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 1, 69
"c:\dev\notes_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 343, 0, 0, 0, 1, 344
"c:\dev\notes_app\macos\Runner\MainFlutterWindow.swift", "Swift", 12, 0, 0, 0, 0, 4, 16
"Total", "-", 33, 343, 68, -359, 0, -36, 49
